Date,Time,Voltage_V,CPU_Load_Pct,Temperature_C,Fan_RPM,Label
1.7.2026,54:00.5,0.731,22.3,50,7308,1
1.7.2026,02:29.5,0.876,22.1,55,4801,0
1.7.2026,43:37.6,0.727,16.8,47,7295,1
1.7.2026,16:38.0,0.842,16.4,49,4789,0
1.7.2026,19:58.7,0.658,27.5,54,4812,0
1.7.2026,59:41.1,0.752,17.9,54,5028,0
1.7.2026,15:39.7,0.996,20.4,57,4812,0
1.7.2026,12:40.6,0.864,100.0,90,7322,2
1.7.2026,19:13.0,0.784,100.0,70,7254,2
1.7.2026,03:59.8,0.769,8.9,51,4789,0
1.7.2026,20:37.0,0.724,100.0,67,7281,2
1.7.2026,23:59.3,0.703,16.8,53,4996,0
1.7.2026,54:32.7,0.99,43.5,63,7295,1
1.7.2026,43:15.4,0.776,25.9,51,6850,1
1.7.2026,12:19.1,0.824,23.7,57,4783,0
1.7.2026,05:05.9,0.941,20.2,65,4795,0
1.7.2026,16:09.1,0.689,100.0,61,7281,2
1.7.2026,26:55.8,0.824,78.7,68,4996,0
1.7.2026,20:16.8,0.927,46.5,59,4818,0
1.7.2026,04:45.9,0.681,11.4,51,4783,0
1.7.2026,23:19.2,0.856,21.6,60,4996,0
1.7.2026,22:37.1,0.661,16.1,51,4990,0
1.7.2026,51:27.8,0.666,41.3,54,7268,1
1.7.2026,51:59.7,0.747,23.3,54,4709,0
1.7.2026,12:50.6,0.859,100.0,87,7349,2
1.7.2026,48:30.9,0.764,32.1,53,7295,1
1.7.2026,59:25.0,0.796,17.3,55,5034,0
1.7.2026,00:25.2,0.863,26.2,55,5021,0
1.7.2026,21:08.9,0.737,30.4,68,4990,0
1.7.2026,05:42.0,0.704,10.9,49,4795,0
1.7.2026,59:17.0,0.806,17.2,56,5015,0
1.7.2026,56:37.3,0.809,48.9,59,7295,1
1.7.2026,38:52.3,0.997,63.0,82,4818,1
1.7.2026,00:57.2,0.719,13.5,51,4996,0
